Spis3477	GO:0008094
Spis17146	GO:0003676, GO:0005515, GO:0008270
Spis6922	GO:0004518
Spis24309	GO:0008270
Spis17147	GO:0003676, GO:0015074
Spis12560	GO:0006412
Spis6923	GO:0007165
Spis17148	GO:0016887
Spis1041	GO:0003676, GO:0008270, GO:0015074
Spis6924	GO:0007165, GO:0042981
Spis6925	GO:0003676, GO:0015074
Spis12563	GO:0006468, GO:0016020
Spis1044	GO:0003676, GO:0015074
Spis6927	GO:0007165
Spis12565	GO:0003847, GO:0016042
Spis6928	GO:0007165
Spis12566	GO:0016021
Spis1046	GO:0003676
Spis9410	GO:0046556
Spis22210	GO:0003677, GO:0005515, GO:0006313
Spis1047	GO:0004518
Spis22211	GO:0005515
Spis12568	GO:0016021
Spis1048	GO:0005515
Spis22212	GO:0003676, GO:0006508, GO:0008270, GO:0015074
Spis15050	GO:0005524, GO:0009116, GO:0016301
Spis12569	GO:0005096, GO:0005515
Spis1049	GO:0016020, GO:0016021, GO:0016887
Spis15051	GO:0005515
Spis9414	GO:0005524, GO:0006468
Spis22215	GO:0004518
Spis15053	GO:0005515
Spis15054	GO:0003824
Spis4830	GO:0005509
Spis15055	GO:0043189
Spis22218	GO:0003824, GO:0004518, GO:0006281, GO:0016788, GO:0035312
Spis15056	GO:0006508, GO:0008270, GO:0070006
Spis9419	GO:0003677
Spis15057	GO:0006508, GO:0008270, GO:0070006
Spis10470	GO:0003676
Spis10471	GO:0003676, GO:0006508, GO:0015074
Spis4835	GO:0000049
Spis4836	GO:0006355
Spis4837	GO:0006810, GO:0030131
Spis10475	GO:0016042
Spis4838	GO:0005515
Spis10476	GO:0003677, GO:0015074, GO:0051607
Spis20120	GO:0005515
Spis10477	GO:0005488, GO:0005515
Spis7322	GO:0005515, GO:0007163
Spis20122	GO:0005515
Spis18842	GO:0055114
Spis10479	GO:0005488, GO:0005515
Spis7323	GO:0005515
Spis7324	GO:0005576
Spis20124	GO:0005515, GO:0008270
Spis25590	GO:0016020
Spis20125	GO:0016021, GO:0045454
Spis7326	GO:0005576
Spis18846	GO:0046872
Spis25592	GO:0004518
Spis20127	GO:0003676, GO:0006397
Spis18847	GO:0005515
Spis2741	GO:0005201, GO:0030414
Spis20128	GO:0005515
Spis18848	GO:0005975, GO:0008061
Spis7329	GO:0008237
Spis25594	GO:0003676, GO:0015074
Spis20129	GO:0005201
Spis2743	GO:0030414
Spis25595	GO:0005515, GO:0008277
Spis2744	GO:0030414
Spis25596	GO:0006412, GO:0015935
Spis2745	GO:0005201
Spis25597	GO:0004488, GO:0055114
Spis2746	GO:0005201
Spis2747	GO:0006468, GO:0016020, GO:0046872
Spis23910	GO:0005515
Spis2748	GO:0006308
Spis5230	GO:0006355
Spis2749	GO:0005515
Spis5231	GO:0005515
Spis5234	GO:0005509, GO:0005578, GO:0016021
Spis16754	GO:0005488
Spis23917	GO:0003676
Spis5236	GO:0016887, GO:0055085
Spis16756	GO:0005488, GO:0005515
Spis5237	GO:0005515
Spis23919	GO:0005515, GO:0005871
Spis5239	GO:0003676
Spis16759	GO:0003676, GO:0005737, GO:0015074, GO:0016787, GO:0016810
Spis19241	GO:0005515
Spis19242	GO:0016021
Spis19244	GO:0005515
Spis19245	GO:0016021
Spis21821	GO:0003676
Spis3140	GO:0005524, GO:0008026, GO:0043140
Spis19247	GO:0005509
Spis14660	GO:0005515, GO:0008076, GO:0051260, GO:0055085
Spis3141	GO:0005515, GO:0005576
Spis21823	GO:0003676, GO:0008408
Spis14661	GO:0005515, GO:0008076, GO:0051260, GO:0055085
Spis3142	GO:0007165
Spis21824	GO:0003676
Spis14662	GO:0006950
Spis3143	GO:0005515, GO:0006508, GO:0008237, GO:0008270
Spis21825	GO:0005515
Spis14663	GO:0006950
Spis3144	GO:0003677, GO:0043565
Spis21826	GO:0005515
Spis14664	GO:0008138, GO:0016311, GO:0016791
Spis14665	GO:0005515, GO:0007165
Spis21828	GO:0005515
Spis14666	GO:0005515
Spis14667	GO:0051382
Spis3148	GO:0003676, GO:0003723, GO:0005515, GO:0008270
Spis14668	GO:0016627
Spis17150	GO:0016887
Spis17151	GO:0016887
Spis24316	GO:0003824, GO:0006097
Spis6930	GO:0007165, GO:0042981
Spis17155	GO:0030289
Spis24318	GO:0005515, GO:0046872
Spis6932	GO:0005525
Spis24319	GO:0005515
Spis12570	GO:0006468
Spis12571	GO:0003676, GO:0008270, GO:0015074
Spis1051	GO:0005576
Spis6934	GO:0005525
Spis12572	GO:0008076, GO:0016020, GO:0055085
Spis1052	GO:0007049
Spis12574	GO:0003676
Spis1054	GO:0006810, GO:0030008
Spis6937	GO:0005488, GO:0006468
Spis12575	GO:0008152
Spis1055	GO:0016020
Spis12576	GO:0005515, GO:0006468
Spis1056	GO:0004518, GO:0008270
Spis6939	GO:0046872
Spis12577	GO:0055114
Spis1057	GO:0016020
Spis9421	GO:0050660, GO:0055114
Spis12578	GO:0005515, GO:0005524, GO:0006468
Spis12579	GO:0055114
Spis9423	GO:0003677, GO:0043565
Spis22223	GO:0003676, GO:0015074
Spis15061	GO:0005854
Spis15062	GO:0016020, GO:0016021, GO:0055085
Spis9425	GO:0007155, GO:0016020
Spis15063	GO:0003924, GO:0007017
Spis22226	GO:0003677
Spis4840	GO:0005515
Spis22227	GO:0003677
Spis9428	GO:0007165, GO:0031683
Spis4841	GO:0016301, GO:0044206
Spis22228	GO:0008152
Spis15066	GO:0005515
Spis9429	GO:0005515, GO:0007165
Spis4842	GO:0055114
Spis22229	GO:0005515, GO:0005525
Spis4843	GO:0005515
Spis15068	GO:0007165
Spis10481	GO:0005515
Spis300	GO:0046872, GO:0055114
Spis301	GO:0005515
Spis10483	GO:0003676
Spis4846	GO:0060828
Spis303	GO:0005515
Spis10485	GO:0007155, GO:0016020
Spis304	GO:0008152, GO:0008484
Spis7330	GO:0016491
Spis305	GO:0008152, GO:0008484
Spis18850	GO:0005515
Spis7331	GO:0016491
Spis306	GO:0008152, GO:0008484
Spis18851	GO:0016887, GO:0055085
Spis10488	GO:0003676
Spis307	GO:0003676, GO:0008270, GO:0015074
Spis18852	GO:0005975, GO:0008061
Spis10489	GO:0003676, GO:0015074
Spis308	GO:0008152, GO:0008484
Spis20133	GO:0005515
Spis18853	GO:0008076, GO:0016020
Spis7334	GO:0005515
Spis309	GO:0003676, GO:0005515, GO:0008152
Spis20134	GO:0008119, GO:0008757
Spis20135	GO:0005515
Spis18855	GO:0006468
Spis7336	GO:0003824, GO:0005977
Spis18857	GO:0016020, GO:0016887
Spis7338	GO:0006508, GO:0030145
Spis2751	GO:0005201
Spis20138	GO:0005515, GO:0016021
Spis18858	GO:0005201
Spis7339	GO:0055114
Spis2752	GO:0006260
Spis18859	GO:0006508, GO:0008237
Spis2753	GO:0005524, GO:0006468
Spis2754	GO:0005524, GO:0006468, GO:0016020, GO:0046872
Spis2756	GO:0016020
Spis2757	GO:0055085
Spis5240	GO:0045454
Spis2759	GO:0003677, GO:0005515, GO:0005634
Spis23922	GO:0005509
Spis5241	GO:0008168, GO:0008175, GO:0032259
Spis23923	GO:0005515
Spis16761	GO:0005515
Spis5242	GO:0004843, GO:0036459
Spis5244	GO:0005515
Spis5245	GO:0003676
Spis5246	GO:0003676, GO:0003677
Spis5247	GO:0003676
Spis23929	GO:0005515, GO:0030496
Spis16767	GO:0003676, GO:0015074
Spis5249	GO:0004518
Spis3150	GO:0016192
Spis14670	GO:0055114
Spis3151	GO:0005515
Spis19258	GO:0005509, GO:0005515, GO:0030246
Spis14671	GO:0006508
Spis3152	GO:0005515
Spis21834	GO:0003676, GO:0008408
Spis14673	GO:0005488
Spis3154	GO:0043565
Spis21836	GO:0006281
Spis14674	GO:0016787
Spis3155	GO:0016021
Spis14675	GO:0016773
Spis21838	GO:0006281
Spis14676	GO:2001256
Spis24320	GO:0005515
Spis14677	GO:0005515, GO:0055085
Spis24321	GO:0005515, GO:0005524, GO:0006468, GO:0007169
Spis14678	GO:0034080
Spis3159	GO:0008152
Spis24323	GO:0005524, GO:0006468
Spis24324	GO:0005515
Spis24326	GO:0003676
Spis17165	GO:0008270
Spis6941	GO:0003676, GO:0003723
Spis24328	GO:0005509
Spis17166	GO:0003676
Spis17167	GO:0005524
Spis12580	GO:0070140
Spis1060	GO:0055085
Spis17168	GO:0003676
Spis12581	GO:0008234
Spis12582	GO:0005524, GO:0006468
Spis12583	GO:0005515
Spis6946	GO:0005524, GO:0006468
Spis12584	GO:0005515
Spis1065	GO:0005488
Spis9430	GO:0008270
Spis22231	GO:0003676, GO:0015074
Spis1068	GO:0005515
Spis9432	GO:0071949
Spis22232	GO:0051607
Spis15070	GO:0005515
Spis10900	GO:0016020
Spis1069	GO:0016791
Spis9433	GO:0006412
Spis15071	GO:0006418, GO:0006436
Spis10901	GO:0008270
Spis10902	GO:0005515
Spis9435	GO:0005515
Spis22235	GO:0003676, GO:0008270
Spis15073	GO:0005515
Spis10903	GO:0008152
Spis15074	GO:0005515
Spis10904	GO:0008152
Spis22237	GO:0016021
Spis9438	GO:0005515, GO:0036459
Spis22238	GO:0005509, GO:0005515, GO:0030246
Spis15076	GO:0006468, GO:0035091
Spis10906	GO:0008152
Spis22239	GO:0005524, GO:0006468
Spis15077	GO:0005975
Spis10490	GO:0003676, GO:0006355, GO:0008270
Spis4853	GO:0055114
Spis15078	GO:0006383, GO:0017025, GO:0070897
Spis10491	GO:0003676, GO:0015074
Spis4854	GO:0004866, GO:0005576, GO:0005615
Spis10492	GO:0008270
Spis4855	GO:0003824, GO:0008033
Spis311	GO:0051056
Spis312	GO:0070831
Spis4857	GO:0005524, GO:0006468, GO:0007165
Spis313	GO:0070831
Spis10495	GO:0008270
Spis314	GO:0032981
Spis10496	GO:0003676
Spis7340	GO:0006298, GO:0030983, GO:0032300
Spis315	GO:0070831
Spis316	GO:0016021
Spis20141	GO:0003676, GO:0006353, GO:0008408, GO:0015074
Spis7342	GO:0005525
Spis317	GO:0003676, GO:0046872
Spis18862	GO:0005524, GO:0006468
Spis10499	GO:0003676, GO:0006355, GO:0006357
Spis318	GO:0003676
Spis20143	GO:0003676
Spis7344	GO:0008138, GO:0016311, GO:0016791
Spis319	GO:0003676
Spis20144	GO:0003676
Spis18864	GO:0003824, GO:0006396, GO:0042254
Spis20145	GO:0003676, GO:0006508
Spis18865	GO:0006351
Spis7346	GO:0055114
Spis20146	GO:0016021
Spis18866	GO:0016021
Spis2760	GO:0032580
Spis20147	GO:0016021
Spis18867	GO:0016021
Spis18868	GO:0008168
Spis2762	GO:0003676, GO:0006355, GO:0008270, GO:0015074
Spis18869	GO:0005515, GO:0016627
Spis2764	GO:0005509, GO:0005515, GO:0007160
Spis2765	GO:0004518, GO:0008270
Spis11303	GO:0046872
Spis2768	GO:0004518, GO:0008270
Spis5250	GO:0005515
Spis5251	GO:0016787
Spis5252	GO:0016787
Spis16772	GO:0003676, GO:0015074
Spis5253	GO:0008270
Spis16773	GO:0006265
Spis5254	GO:0003676
Spis11309	GO:0008270
Spis16775	GO:0003676, GO:0015074
Spis5256	GO:0046983
Spis5257	GO:0006355, GO:0046983
Spis5258	GO:0006355, GO:0046983
Spis5259	GO:0046983
Spis19260	GO:0005488, GO:0019135
Spis16779	GO:0005488
Spis19263	GO:0005515, GO:0005524
Spis19264	GO:0055114
Spis21840	GO:0008061
Spis19265	GO:0005201
Spis21841	GO:0015031
Spis19266	GO:0006635, GO:0051056, GO:0055114
Spis3160	GO:0008152
Spis21843	GO:0016021
Spis19268	GO:0055114
Spis3162	GO:0005515
Spis21844	GO:0016021
Spis19269	GO:0016887, GO:0055085
Spis3163	GO:0005515, GO:0005634, GO:0006281
Spis3164	GO:0008152, GO:0008484, GO:0016021
Spis21846	GO:0016021
Spis14684	GO:0016887, GO:0042803, GO:0055085
Spis3165	GO:0008152, GO:0008484
Spis21847	GO:0055114
Spis3166	GO:0008152, GO:0008484
Spis21848	GO:0005524, GO:0055114
Spis3167	GO:0008152, GO:0008484
Spis21849	GO:0005509
Spis14687	GO:0008076, GO:0016020, GO:0055085
Spis24331	GO:0005515
Spis14688	GO:0003677, GO:0005634, GO:0046982
Spis24332	GO:0005515
Spis24334	GO:0036374
Spis17174	GO:0005515, GO:0016020
Spis6950	GO:0005524
Spis17175	GO:0005515
Spis17176	GO:0005515
Spis17177	GO:0006412, GO:0006418, GO:0006424, GO:0006433, GO:0043039
Spis1070	GO:0006508, GO:0016021
Spis12591	GO:0006468
Spis1071	GO:0016887
Spis12592	GO:0016021
Spis1072	GO:0008152
Spis6955	GO:0006281
Spis12593	GO:0016021
Spis1073	GO:0008152
Spis12594	GO:0003676, GO:0015074
Spis1074	GO:0003723, GO:0006396, GO:0009982
Spis12595	GO:0003676, GO:0006353
Spis1075	GO:0016020, GO:0016021
Spis6958	GO:0003824, GO:0005975
Spis12596	GO:0006468
Spis9440	GO:0008076, GO:0016020
Spis9441	GO:0003676, GO:0015074
Spis22241	GO:0003676, GO:0015074
Spis12598	GO:0016021, GO:0045211
Spis1078	GO:0003676, GO:0003723
Spis9442	GO:0008270
Spis15080	GO:0005509, GO:0005515, GO:0016020
Spis12599	GO:0006508, GO:0008237
Spis1079	GO:0005515, GO:0006355, GO:0008270, GO:0043401, GO:0043565
Spis9443	GO:0005524
Spis22243	GO:0005975, GO:0006004
Spis15081	GO:0005509, GO:0005515, GO:0016020
Spis9444	GO:0005515
Spis15082	GO:0005509, GO:0005515
Spis10912	GO:0005515
Spis9445	GO:0006412
Spis15083	GO:0005509, GO:0005515, GO:0016020
Spis10913	GO:0016491
Spis15084	GO:0007165, GO:0043087, GO:0043547
Spis4860	GO:0004017, GO:0019205
Spis9448	GO:0005739
Spis4861	GO:0003676, GO:0032021
Spis15086	GO:0005515, GO:0043531
Spis4862	GO:0042981, GO:0051092
Spis22249	GO:0005515
Spis15088	GO:0005515, GO:0005525, GO:0007264
Spis10918	GO:0055085
Spis4864	GO:0003824, GO:0005515
Spis320	GO:0004518
Spis13400	GO:0005488, GO:0008270
Spis10919	GO:0007018, GO:0008017
Spis4865	GO:0003677, GO:0015074, GO:0051607
Spis4866	GO:0046872
Spis322	GO:0004518, GO:0008234
Spis13402	GO:0003676
Spis4868	GO:0046872
Spis324	GO:0006313
Spis4869	GO:0004518, GO:0008270
Spis13405	GO:0003676, GO:0015074
Spis7351	GO:0005515
Spis326	GO:0003676
Spis20151	GO:0006355
Spis18871	GO:0005515
Spis13406	GO:0005515
Spis7352	GO:0005515, GO:0055114
Spis20152	GO:0006355
Spis7353	GO:0005515, GO:0055114
Spis328	GO:0003676
Spis20153	GO:0016887, GO:0055085
Spis18873	GO:0005515
Spis13408	GO:0005515, GO:0005524, GO:0006468
Spis7354	GO:0005515, GO:0055114
Spis329	GO:0004842
Spis18874	GO:0006629, GO:0052689
Spis13409	GO:0006468
Spis7355	GO:0005515, GO:0055114
Spis18875	GO:0055085
Spis7356	GO:0005515, GO:0055114
Spis7357	GO:0005524, GO:0006750, GO:0016874
Spis2770	GO:0005515, GO:0007160
Spis18877	GO:0007165
Spis7358	GO:0016021
Spis2771	GO:0005515
Spis18878	GO:0005488
Spis7359	GO:0008152, GO:0016747
Spis2772	GO:0003677, GO:0006355
Spis20159	GO:0003676
Spis18879	GO:0005509, GO:0005515
Spis11310	GO:0005509
Spis11311	GO:0003998
Spis2776	GO:0016627, GO:0055114
Spis11312	GO:0005515
Spis23940	GO:0005515, GO:0006508
Spis11313	GO:0005515
Spis11314	GO:0005515
Spis5260	GO:0017119
Spis23942	GO:0003676, GO:0046983
Spis5261	GO:0071805
Spis23943	GO:0005515
Spis16781	GO:0030983
Spis5262	GO:0017119
Spis16782	GO:0055114
Spis11317	GO:0016021
Spis16783	GO:0055114
Spis11318	GO:0005515
Spis5264	GO:0006355, GO:0046983
Spis16784	GO:0004842
Spis23947	GO:0008168
Spis16785	GO:0003677, GO:0046982
Spis5266	GO:0007010, GO:0008168, GO:0051015
Spis16786	GO:0005515, GO:0007165, GO:0030695
Spis5267	GO:0003824, GO:0055114
Spis23949	GO:0005515
Spis5268	GO:0003676, GO:0005524, GO:0006468, GO:0008408
Spis19270	GO:0005524, GO:0006468
Spis16789	GO:0016887, GO:0055085
Spis19271	GO:0005515
Spis19272	GO:0005515
Spis21851	GO:0003676
Spis19276	GO:0005515, GO:0006355, GO:0043565
Spis19277	GO:0005515
Spis3171	GO:0035023
Spis3174	GO:0005509
Spis21856	GO:0005515, GO:0007165, GO:0043531
Spis3175	GO:0005515
Spis14695	GO:0003824, GO:0006470, GO:0043169
Spis3176	GO:0016021, GO:0055085
Spis21858	GO:0005515, GO:0007165, GO:0043531
Spis3177	GO:0005509
Spis24340	GO:0005515
Spis3178	GO:0005509
Spis24341	GO:0005515
Spis3179	GO:0016021
Spis24342	GO:0004518
Spis17180	GO:0005515
Spis17181	GO:0006468, GO:0046777
Spis24344	GO:0006353
Spis17182	GO:0016020
Spis24345	GO:0003676, GO:0015074
Spis17183	GO:0005515
Spis6961	GO:0005515, GO:0046872
Spis17186	GO:0005515
Spis6962	GO:0016021
Spis17187	GO:0005515, GO:0008270
Spis1080	GO:0005524
Spis6963	GO:0006302
Spis17188	GO:0005515
Spis1081	GO:0031625
Spis6964	GO:0006355
Spis17189	GO:0005515, GO:0008270
Spis15500	GO:0016021
Spis1083	GO:0005509, GO:0005515
Spis6966	GO:0016746
Spis15502	GO:0055114
Spis1084	GO:0016787, GO:0030145, GO:0030870
Spis6967	GO:0005524, GO:0006468
Spis15503	GO:0016020
Spis1085	GO:0005524, GO:0006468
Spis6968	GO:0016021
Spis9450	GO:0048193
Spis6969	GO:0003677, GO:0046983
Spis22250	GO:0005515
Spis15505	GO:0005515, GO:0051260
Spis1087	GO:0006914
Spis9451	GO:1901135
Spis1088	GO:0003676
Spis9452	GO:0015986
Spis22252	GO:0006508, GO:0008237, GO:0008270
Spis15507	GO:0043531
Spis15090	GO:0016021
Spis10920	GO:0055085
Spis1089	GO:0006233
Spis9453	GO:0005488, GO:0016043, GO:0030036
Spis9454	GO:0008242, GO:0016787
Spis15092	GO:0005515, GO:0008270, GO:0016021
Spis22255	GO:0003676, GO:0015074
Spis10923	GO:0005515
Spis9456	GO:0003676, GO:0003677, GO:0015074
Spis15094	GO:0016787
Spis9457	GO:0003676, GO:0003677
Spis4870	GO:0046872
Spis22257	GO:0042157
Spis15095	GO:0008270
Spis10925	GO:0016887, GO:0055085
Spis9458	GO:0003676
Spis4871	GO:0003676
Spis9459	GO:0003676, GO:0004518, GO:0015074
Spis4872	GO:0003676
Spis10927	GO:0008152
Spis4873	GO:0006810
Spis15098	GO:0005515
Spis10928	GO:0005515
Spis330	GO:0005515, GO:0008270
Spis15099	GO:0006412
Spis10929	GO:0006355
Spis13410	GO:0004518
Spis331	GO:0003677
Spis13411	GO:0003676, GO:0005515
Spis334	GO:0016491
Spis335	GO:0003676
Spis18880	GO:0035023, GO:0035556
Spis13415	GO:0005515, GO:0005524, GO:0006468
Spis20161	GO:0003676
Spis13416	GO:0005515, GO:0005524, GO:0006468, GO:0007169
Spis7362	GO:0003676, GO:0003743
Spis337	GO:0006508, GO:0046872
Spis20162	GO:0015074
Spis18882	GO:0008270
Spis13417	GO:0003676, GO:0015074
Spis20163	GO:0006355, GO:0046983
Spis18883	GO:0016020
Spis13418	GO:0006508
Spis7364	GO:0005515, GO:0007186, GO:0016020, GO:0016021, GO:0016525
Spis18884	GO:0034453
Spis13419	GO:0003676
Spis7365	GO:0045010
Spis20165	GO:0005515
Spis18885	GO:0030983, GO:0032300
Spis7366	GO:0005525
Spis18886	GO:0006412
Spis7367	GO:0006412
Spis2780	GO:0008081
Spis20167	GO:0006412
Spis18887	GO:0016021
Spis7368	GO:0005515, GO:0055085, GO:0070588
Spis2781	GO:0020037
Spis18888	GO:0016021
Spis7369	GO:0005524, GO:0005856, GO:0006468, GO:0007172
Spis2782	GO:0006751
Spis20169	GO:0005515
Spis18889	GO:0016021
Spis2783	GO:0003677, GO:0005524, GO:0031011
Spis2784	GO:0005096
Spis11320	GO:0034464
Spis11321	GO:0005515, GO:0045446
Spis11322	GO:0016020
Spis2787	GO:0046872
Spis11323	GO:0006355, GO:0008270, GO:0043401, GO:0043565
Spis11324	GO:0055114
Spis5270	GO:0016579
Spis16790	GO:0016887, GO:0055085
Spis11325	GO:0046983
Spis23953	GO:0005515
Spis16791	GO:0016887, GO:0055085
Spis11327	GO:0005515, GO:0008270, GO:0043130
Spis23956	GO:0003677, GO:0005515, GO:0016020
Spis16794	GO:0005515, GO:0042981, GO:0061630
Spis5275	GO:0005515, GO:0005524, GO:0006468
Spis16795	GO:0005524, GO:0006468
Spis23958	GO:0004518, GO:0006259
Spis16798	GO:0008152
Spis5279	GO:0003676, GO:0005515
Spis19280	GO:0003676, GO:0046983
Spis16799	GO:0004222, GO:0008237
Spis19283	GO:0032797
Spis21860	GO:0003676, GO:0015074
Spis19285	GO:0005515
Spis21861	GO:0003676
Spis19286	GO:0005515
Spis3180	GO:0005509
Spis21862	GO:0004518, GO:0004527, GO:0005515, GO:0005622, GO:0008270
Spis21863	GO:0008270
Spis19288	GO:0003676, GO:0003677, GO:0006313
Spis3182	GO:0005515, GO:0005852
Spis17600	GO:0005524, GO:0006468
Spis3183	GO:0008080, GO:0034470
Spis3184	GO:0004842
Spis17602	GO:0008270
Spis21867	GO:0042981
Spis21868	GO:0006468
Spis17604	GO:0003676
Spis3187	GO:0005515, GO:0006468
Spis21869	GO:0004842
Spis3188	GO:0051056
Spis17606	GO:0003676, GO:0015074
Spis24352	GO:0005524, GO:0006468
Spis17607	GO:0003676
Spis17190	GO:0015031
Spis1500	GO:0005524, GO:0006468
Spis24353	GO:0005515
Spis17191	GO:0036064
Spis24354	GO:0008152
Spis17609	GO:0003677, GO:0015074
Spis17192	GO:0004114, GO:0007165, GO:0008081
Spis24355	GO:0005509
Spis17193	GO:0006468
Spis1503	GO:0055085
Spis6970	GO:0005179, GO:0005576
Spis24357	GO:0005524
Spis17195	GO:0003676, GO:0008152
Spis1505	GO:0005634
Spis6971	GO:0005576
Spis17196	GO:0005524, GO:0006281
Spis1506	GO:0043565
Spis6972	GO:0006412
Spis17197	GO:0006351
Spis1507	GO:0008168
Spis1090	GO:0016020
Spis6973	GO:0003677, GO:0046983
Spis17198	GO:0005515
Spis1508	GO:0043565
Spis6974	GO:0003677, GO:0046983
Spis1509	GO:0070652
Spis1092	GO:0006412
Spis6975	GO:0005515
Spis1093	GO:0003676, GO:0008408
Spis6976	GO:0003676, GO:0003723
Spis1094	GO:0006352, GO:0046982
Spis6977	GO:0005515
Spis15513	GO:0005515
Spis1095	GO:0016592
Spis6978	GO:0008138, GO:0016311, GO:0016791, GO:0055114
Spis1096	GO:0005515
Spis9460	GO:0003676
Spis6979	GO:0005524, GO:0005634, GO:0006468
Spis15515	GO:0005509
Spis9461	GO:0003676, GO:0004842, GO:0008270
Spis15516	GO:0005509
Spis1098	GO:0005524
Spis9462	GO:0003676, GO:0015074
Spis15517	GO:0005515
Spis1099	GO:0016811
Spis10930	GO:0016887, GO:0055085
Spis15518	GO:0008641
Spis10931	GO:0008146
Spis22264	GO:0055114
Spis18000	GO:0005515, GO:0005737, GO:0006897
Spis15519	GO:0016020, GO:0016192, GO:0031201
Spis10932	GO:0008146
Spis9465	GO:0007165
Spis22265	GO:0005515
Spis18001	GO:0005515, GO:0005737, GO:0006897
Spis22266	GO:0005515
Spis18002	GO:0005515
Spis9467	GO:0003676, GO:0003723, GO:0007165, GO:0007264
Spis18003	GO:0030145
Spis10935	GO:0005515, GO:0005524, GO:0005622, GO:0006468, GO:0008270, GO:0046777
Spis9468	GO:0004518, GO:0005515
Spis4881	GO:0004037
Spis22268	GO:0003676, GO:0015074
Spis18004	GO:0006508, GO:0007219, GO:0008237
Spis10936	GO:0003676
Spis9469	GO:0005515
Spis4882	GO:0004037
Spis22269	GO:0003676, GO:0046983
Spis18005	GO:0042981
Spis4883	GO:0035556
Spis4884	GO:0005515, GO:0019900
Spis340	GO:0046982, GO:0051382
Spis18007	GO:0003676
Spis13420	GO:0005515, GO:0005524, GO:0006468
Spis4885	GO:0043065
Spis341	GO:0005515
Spis13421	GO:0003676
Spis4886	GO:0055085
Spis4887	GO:0003676, GO:0005515, GO:0031251
Spis343	GO:0008270
Spis13423	GO:0003676, GO:0005515, GO:0006468
Spis4888	GO:0005524
Spis344	GO:0016021
Spis13424	GO:0005515, GO:0008270, GO:0016579, GO:0036459
Spis7370	GO:0005525
Spis4889	GO:0003676, GO:0008270
Spis345	GO:0005515
Spis18890	GO:0016021
Spis13425	GO:0016021
Spis7371	GO:0005525
Spis346	GO:0008017
Spis7372	GO:0005096
Spis347	GO:0008233
Spis18892	GO:0003676
Spis13427	GO:0016021
Spis7373	GO:0005488
Spis348	GO:0005515
Spis18893	GO:0008270
Spis13428	GO:0005524, GO:0006468
Spis13429	GO:0004518
Spis7375	GO:0032467
Spis18895	GO:0005515, GO:0055085
Spis7376	GO:0048037
Spis20176	GO:0005515
Spis18896	GO:0005509, GO:0005515
Spis2790	GO:0003677, GO:0008094, GO:0033063
Spis18897	GO:0005515, GO:0055085
Spis2791	GO:0005515, GO:0035556
Spis18898	GO:0005515, GO:0005525, GO:0007264
Spis2792	GO:0010181, GO:0055114
Spis20179	GO:0005515
Spis11330	GO:0005488, GO:0005515, GO:0034333
Spis2795	GO:0003676, GO:0008408
Spis11331	GO:0019904
Spis2796	GO:0016021
Spis23960	GO:0006260, GO:0006261, GO:0008270, GO:0008408
Spis11333	GO:0005509
Spis23961	GO:0003676, GO:0006353, GO:0015074
Spis11334	GO:0005524, GO:0030163
Spis5280	GO:0005634
Spis2799	GO:0004518, GO:0008270
Spis11336	GO:0003676, GO:0016020
Spis5282	GO:0003677, GO:0006289
Spis23964	GO:0005515
Spis5283	GO:0005615
Spis23965	GO:0007585
Spis19701	GO:0005515, GO:0008270, GO:0042981, GO:0046872
Spis11338	GO:0016021
Spis19702	GO:0005515
Spis11339	GO:0005515, GO:0016020
Spis23968	GO:0007165
Spis19704	GO:0003676, GO:0015074, GO:0055114
Spis5287	GO:0005509, GO:0005615
Spis3600	GO:0005488, GO:0005515
Spis19290	GO:0007165
Spis3601	GO:0005515
Spis19291	GO:0007165
Spis3602	GO:0003676, GO:0006313
Spis3603	GO:0003676
Spis19294	GO:0005515
Spis19295	GO:0016021
Spis19296	GO:0016020
Spis21872	GO:0005515
Spis19297	GO:0007155, GO:0016020
Spis3191	GO:0003676
Spis21873	GO:0003676
Spis3192	GO:0005515
Spis21874	GO:0004518, GO:0008270
Spis19299	GO:0007155, GO:0016020
Spis3193	GO:0030246
Spis3194	GO:0050840
Spis21877	GO:0006383
Spis17613	GO:0006468
Spis3196	GO:0016765
Spis21878	GO:0003676, GO:0003723, GO:0005515
Spis17614	GO:0005524, GO:0006468
Spis3197	GO:0004659, GO:0016765
Spis24360	GO:0052331
Spis17615	GO:0016020
Spis24361	GO:0003676, GO:0015074
Spis3199	GO:0051861
Spis17617	GO:0008270
Spis1510	GO:0016021
Spis17618	GO:0003676, GO:0005515, GO:0008270, GO:0015074
Spis24364	GO:0005515
Spis1512	GO:0008201, GO:0016021, GO:0046914
Spis24365	GO:0003676, GO:0015074
Spis1513	GO:0005515
Spis24366	GO:0005515
Spis1514	GO:0046872
Spis6980	GO:0005525, GO:0016020
Spis24367	GO:0005515
Spis1515	GO:0005634
Spis24368	GO:0005515
Spis6982	GO:0016021
Spis6983	GO:0005856
Spis6984	GO:0031966
Spis15520	GO:0016020
Spis1519	GO:0008270
Spis6985	GO:0005515
Spis4001	GO:0003677, GO:0005525
Spis15521	GO:0016020
Spis6986	GO:0003824, GO:0005975, GO:0006098
Spis4002	GO:0036459
Spis6987	GO:0005515
Spis15523	GO:0016020
